Tissue,Sample,Gene_A,Gene_B
ACC,TCGA-OR-A5JS-01A,INTS2,GLIS3
ACC,TCGA-OR-A5JS-01A,NSD1,EFNA5
ACC,TCGA-OR-A5JS-01A,UIMC1,PJA2
ACC,TCGA-OR-A5JT-01A,C9orf25,C11orf49
ACC,TCGA-OR-A5JT-01A,PHF20,SPAG4
ACC,TCGA-OR-A5JV-01A,GPR98,CLPTM1L
ACC,TCGA-OR-A5JX-01A,APC,REEP2
ACC,TCGA-OR-A5JY-01A,COMT,YPEL1
ACC,TCGA-OR-A5JY-01A,CREB3L2,CPA2
ACC,TCGA-OR-A5JY-01A,DGKD,SAG
ACC,TCGA-OR-A5JY-01A,DHCR24,EPHX1
ACC,TCGA-OR-A5JY-01A,FGD4,SLCO1A2
ACC,TCGA-OR-A5JY-01A,HPS4,CABIN1
ACC,TCGA-OR-A5JY-01A,MGA,NUSAP1
ACC,TCGA-OR-A5JY-01A,PKIB,BLK
ACC,TCGA-OR-A5JY-01A,SCARB1,EIF3D
ACC,TCGA-OR-A5JY-01A,TBL1XR1,ATG7
ACC,TCGA-OR-A5JY-01A,UBE2J1,C6orf165
ACC,TCGA-OR-A5JY-01A,UBR2,PXT1
ACC,TCGA-OR-A5JY-01A,VPS26B,C15orf41
ACC,TCGA-OR-A5JZ-01A,C5orf56,CCDC101
ACC,TCGA-OR-A5JZ-01A,CRIP2,MTA1
ACC,TCGA-OR-A5JZ-01A,PRKAR2A,SLC25A20
ACC,TCGA-OR-A5JZ-01A,SPEF2,C5orf42
ACC,TCGA-OR-A5JZ-01A,THRAP3,MAP7D1
ACC,TCGA-OR-A5K1-01A,GJA1,STAT6
ACC,TCGA-OR-A5K2-01A,DHCR24,EPHX1
ACC,TCGA-OR-A5K2-01A,MAP7,AHI1
ACC,TCGA-OR-A5K2-01A,NFIC,C16orf55
ACC,TCGA-OR-A5K2-01A,NUTF2,TSNAXIP1
ACC,TCGA-OR-A5K5-01A,BRK1,FANCD2
ACC,TCGA-OR-A5K5-01A,BTRC,MICU1
ACC,TCGA-OR-A5K5-01A,CARM1,C19orf38
ACC,TCGA-OR-A5K5-01A,DNM2,QTRT1
ACC,TCGA-OR-A5K5-01A,KTN1,CCT5
ACC,TCGA-OR-A5K5-01A,LDLR,CCDC130
ACC,TCGA-OR-A5K5-01A,MED16,C19orf22
ACC,TCGA-OR-A5K5-01A,MMS19,NDUFV1
ACC,TCGA-OR-A5K5-01A,MSH5,BSCL2
ACC,TCGA-OR-A5K5-01A,MYO1F,LRSAM1
ACC,TCGA-OR-A5K5-01A,RAB8A,PLVAP
ACC,TCGA-OR-A5K5-01A,RPRD1B,MEF2B
ACC,TCGA-OR-A5K5-01A,SENP2,MSH5
ACC,TCGA-OR-A5K5-01A,SIK3,CTNNBIP1
ACC,TCGA-OR-A5K5-01A,TMEM87B,MERTK
ACC,TCGA-OR-A5K5-01A,TXNDC11,BAMBI
ACC,TCGA-OR-A5K5-01A,TXNDC11,CIB4
ACC,TCGA-OR-A5K5-01A,ZDHHC19,PCYT1A
ACC,TCGA-OR-A5K6-01A,ERN1,TEX2
ACC,TCGA-OR-A5K9-01A,ANKRD52,DYRK2
ACC,TCGA-OR-A5K9-01A,APOE,CLCN3
ACC,TCGA-OR-A5K9-01A,FAM19A2,IKZF4
ACC,TCGA-OR-A5K9-01A,MLLT1,PRLR
ACC,TCGA-OR-A5KO-01A,NT5DC1,SLC35F1
ACC,TCGA-OR-A5KT-01A,CCT2,KRT78
ACC,TCGA-OR-A5KT-01A,EEF2,SEC63
ACC,TCGA-OR-A5KT-01A,SLC16A7,RP11-762I7.5
ACC,TCGA-OR-A5KT-01A,SPATS2,TSPAN8
ACC,TCGA-OR-A5KT-01A,SPOP,AARSD1
ACC,TCGA-OR-A5KT-01A,WIBG,SLC16A7
ACC,TCGA-OR-A5KU-01A,RNF41,CS
ACC,TCGA-OR-A5KV-01A,KDM6A,FUNDC1
ACC,TCGA-OR-A5KV-01A,PIN1,PPP2R3C
ACC,TCGA-OR-A5KV-01A,REPS2,APOO
ACC,TCGA-OR-A5KW-01A,BRMS1L,ZNF839
ACC,TCGA-OR-A5KX-01A,CDH12,BNIP3L
ACC,TCGA-OR-A5KX-01A,DLST,YLPM1
ACC,TCGA-OR-A5KX-01A,DNAJC21,SGCZ
ACC,TCGA-OR-A5KX-01A,FKBP8,HAUS8
ACC,TCGA-OR-A5KX-01A,FN3KRP,KCNQ1
ACC,TCGA-OR-A5KX-01A,NCKAP5L,BCDIN3D
ACC,TCGA-OR-A5KX-01A,PPP1R16A,GPR172A
ACC,TCGA-OR-A5KX-01A,PRLR,CDH12
ACC,TCGA-OR-A5KY-01A,AHSA2,C2orf74
ACC,TCGA-OR-A5KY-01A,AMBRA1,LRP4
ACC,TCGA-OR-A5KY-01A,ASB3,MTA3
ACC,TCGA-OR-A5KY-01A,B4GALT5,ASIP
ACC,TCGA-OR-A5KY-01A,C7orf42,ATOH8
ACC,TCGA-OR-A5KY-01A,CHD3,RAD51C
ACC,TCGA-OR-A5KY-01A,FHOD3,ESRRB
ACC,TCGA-OR-A5KY-01A,LRRC68,BCAM
ACC,TCGA-OR-A5KY-01A,NCOR2,SCARB1
ACC,TCGA-OR-A5KY-01A,PPP1CB,BRE
ACC,TCGA-OR-A5KY-01A,TRAPPC10,AGPAT3
ACC,TCGA-OR-A5KY-01A,TSPAN18,PIK3R2
ACC,TCGA-OR-A5KZ-01A,VPS41,TSGA14
ACC,TCGA-OR-A5L6-01A,AMBRA1,HARBI1
ACC,TCGA-OR-A5L6-01A,CLK1,NAPRT1
ACC,TCGA-OR-A5L6-01A,PLBD2,CIDEC
ACC,TCGA-OR-A5LB-01A,FAM19A4,TMF1
ACC,TCGA-OR-A5LD-01A,GANAB,C11orf48
ACC,TCGA-OR-A5LD-01A,GANAB,RP11-831H9.11
ACC,TCGA-OR-A5LD-01A,KIF18B,C1QL1
ACC,TCGA-OR-A5LD-01A,ZXDC,UROC1
ACC,TCGA-OR-A5LH-01A,DCLK2,LRBA
ACC,TCGA-OR-A5LH-01A,DHCR24,EPHX1
ACC,TCGA-OR-A5LL-01A,MMACHC,TTC23L
ACC,TCGA-OR-A5LL-01A,ZNF616,TRAPPC8
ACC,TCGA-OR-A5LM-01A,DLK1,STAT6
ACC,TCGA-OR-A5LM-01A,FTSJD2,RP4-761I2.2
ACC,TCGA-OR-A5LM-01A,RP4-761I2.2,RCAN2
ACC,TCGA-OR-A5LO-01A,C1orf151,KIAA0182
ACC,TCGA-OR-A5LO-01A,CELF1,FNBP4
ACC,TCGA-OR-A5LO-01A,CMIP,BCMO1
ACC,TCGA-OR-A5LO-01A,FOXK2,TNFSF12-TNFSF13
ACC,TCGA-OR-A5LO-01A,FOXO3,LACE1
ACC,TCGA-OR-A5LO-01A,GBF1,NOLC1
ACC,TCGA-OR-A5LO-01A,NCOA6,GSS
ACC,TCGA-OR-A5LO-01A,PXN,PLA2G1B
ACC,TCGA-OR-A5LO-01A,RAB40C,C16orf11
ACC,TCGA-OR-A5LO-01A,REPS2,TXLNG
ACC,TCGA-OR-A5LO-01A,WRAP53,AHCY
ACC,TCGA-OR-A5LP-01A,SQSTM1,IQCE
ACC,TCGA-OU-A5PI-01A,CDS2,MAST3
ACC,TCGA-OU-A5PI-01A,FHOD3,ELP2
ACC,TCGA-OU-A5PI-01A,PLCB1,WTIP
ACC,TCGA-OU-A5PI-01A,SMAD2,ZBTB7C
ACC,TCGA-P6-A5OF-01A,DCP2,IL17B
ACC,TCGA-P6-A5OF-01A,GNB1,TSC2
ACC,TCGA-P6-A5OF-01A,RPS6KA4,CCDC88B
ACC,TCGA-P6-A5OF-01A,YPEL3,EXD3
ACC,TCGA-P6-A5OG-01A,COL5A1,DDX21
ACC,TCGA-P6-A5OG-01A,TRAM2,HCRTR2
ACC,TCGA-PK-A5H9-01A,AC008687.1,MN1
ACC,TCGA-PK-A5H9-01A,P4HB,ERBB3
ACC,TCGA-PK-A5HA-01A,COL6A1,PLAT
ACC,TCGA-PK-A5HA-01A,HEATR7A,CYC1
ACC,TCGA-PK-A5HA-01A,NEK4,TMEM110
ACC,TCGA-PK-A5HA-01A,NLRC5,NUP93
ACC,TCGA-PK-A5HA-01A,PXK,RPP14
ACC,TCGA-PK-A5HB-01A,PAPSS2,MINPP1
ACC,TCGA-PK-A5HB-01A,RRP7A,PACSIN2
ACC,TCGA-PK-A5HB-01A,VIM,CLCN3
BLCA,TCGA-2F-A9KO-01A,FAM179B,KCNK13
BLCA,TCGA-2F-A9KO-01A,GUCY1A2,NLK
BLCA,TCGA-2F-A9KO-01A,NUDT2,UBAP1
BLCA,TCGA-2F-A9KO-01A,SHPK,GUCY1A2
BLCA,TCGA-2F-A9KP-01A,EPB41,HGSNAT
