Tissue,Sample,Gene_A,Gene_B
BRCA,TCGA-A2-A0EV-01A-11R-A034-07,ZNF460,ELSPBP1
BRCA,TCGA-A2-A0EV-01A-11R-A034-07,ZNF83,PCDH15
BRCA,TCGA-A2-A0EW-01A-21R-A115-07,ASTN2,C9orf29
BRCA,TCGA-A2-A0EW-01A-21R-A115-07,C14orf45,RGS6
BRCA,TCGA-A2-A0EW-01A-21R-A115-07,FNTA,ZMAT4
BRCA,TCGA-A2-A0EW-01A-21R-A115-07,HOOK3,TM2D2
BRCA,TCGA-A2-A0EW-01A-21R-A115-07,HSDL2,FRMD3
BRCA,TCGA-A2-A0EW-01A-21R-A115-07,TJP2,TMEM38B
BRCA,TCGA-A2-A0EX-01A-21R-A034-07,FBXO16,ADAM32
BRCA,TCGA-A2-A0EY-01A-11R-A034-07,B3GNTL1,LRRC3C
BRCA,TCGA-A2-A0EY-01A-11R-A034-07,C19orf25,MED1
BRCA,TCGA-A2-A0EY-01A-11R-A034-07,CACNG4,C17orf51
BRCA,TCGA-A2-A0EY-01A-11R-A034-07,ESRP2,SLC7A6
BRCA,TCGA-A2-A0EY-01A-11R-A034-07,FBXL20,SIRT6
BRCA,TCGA-A2-A0EY-01A-11R-A034-07,GPR137C,FERMT2
BRCA,TCGA-A2-A0EY-01A-11R-A034-07,L2HGDH,LMBRD1
BRCA,TCGA-A2-A0EY-01A-11R-A034-07,MAPK1IP1L,ARF6
BRCA,TCGA-A2-A0EY-01A-11R-A034-07,MED1,TMPRSS9
BRCA,TCGA-A2-A0EY-01A-11R-A034-07,SMG1,ANO3
BRCA,TCGA-A2-A0EY-01A-11R-A034-07,SPECC1,TMEM11
BRCA,TCGA-A2-A0ST-01A-12R-A084-07,ATP1A1,NOTCH2
BRCA,TCGA-A2-A0ST-01A-12R-A084-07,CMTM8,NR1D2
BRCA,TCGA-A2-A0ST-01A-12R-A084-07,STX6,RP11-111M22.2
BRCA,TCGA-A2-A0ST-01A-12R-A084-07,ZNF346,PAOX
BRCA,TCGA-A2-A0SU-01A-11R-A084-07,ZNF18,TASP1
BRCA,TCGA-A2-A0SV-01A-11R-A084-07,CAST,FAM172A
BRCA,TCGA-A2-A0SV-01A-11R-A084-07,NF2,GRAP2
BRCA,TCGA-A2-A0SV-01A-11R-A084-07,OSTM1,SNX3
BRCA,TCGA-A2-A0SV-01A-11R-A084-07,PHTF2,RUNDC3B
BRCA,TCGA-A2-A0SW-01A-11R-A084-07,BDP1,CWC27
BRCA,TCGA-A2-A0SW-01A-11R-A084-07,PPFIBP2,OLFML1
BRCA,TCGA-A2-A0SW-01A-11R-A084-07,TRPC4AP,C9orf5
BRCA,TCGA-A2-A0SX-01A-12R-A084-07,C9orf150,TYRP1
BRCA,TCGA-A2-A0SX-01A-12R-A084-07,FLNB,SLMAP
BRCA,TCGA-A2-A0SX-01A-12R-A084-07,MAML3,CLGN
BRCA,TCGA-A2-A0SY-01A-31R-A084-07,NF1,ANKFN1
BRCA,TCGA-A2-A0SY-01A-31R-A084-07,WDR70,ADAMTS12
BRCA,TCGA-A2-A0T0-01A-22R-A084-07,APBB2,DMD
BRCA,TCGA-A2-A0T1-01A-21R-A084-07,ACOT7,NSMCE2
BRCA,TCGA-A2-A0T1-01A-21R-A084-07,DAB2IP,HTN3
BRCA,TCGA-A2-A0T1-01A-21R-A084-07,DENND1A,LRRC69
BRCA,TCGA-A2-A0T1-01A-21R-A084-07,ENDOV,IKZF3
BRCA,TCGA-A2-A0T1-01A-21R-A084-07,FBXL20,ABCA6
BRCA,TCGA-A2-A0T1-01A-21R-A084-07,METRNL,AC087491.2
BRCA,TCGA-A2-A0T1-01A-21R-A084-07,NIPBL,ANKRD17
BRCA,TCGA-A2-A0T1-01A-21R-A084-07,SAMD12,C4orf7
BRCA,TCGA-A2-A0T1-01A-21R-A084-07,SRCIN1,PCYT2
BRCA,TCGA-A2-A0T1-01A-21R-A084-07,TANC2,GOSR1
BRCA,TCGA-A2-A0T1-01A-21R-A084-07,WDR70,PGAP3
BRCA,TCGA-A2-A0T2-01A-11R-A084-07,C1orf9,C1orf105
BRCA,TCGA-A2-A0T3-01A-21R-A115-07,ADRBK2,SF3A1
BRCA,TCGA-A2-A0T3-01A-21R-A115-07,ETV4,CCL16
BRCA,TCGA-A2-A0T3-01A-21R-A115-07,RAB28,C20orf72
BRCA,TCGA-A2-A0T3-01A-21R-A115-07,RPGRIP1L,KLHL22
BRCA,TCGA-A2-A0T4-01A-31R-A084-07,ALG8,NARS2
BRCA,TCGA-A2-A0T4-01A-31R-A084-07,GSTA4,NADSYN1
BRCA,TCGA-A2-A0T4-01A-31R-A084-07,NUMA1,FAM83B
BRCA,TCGA-A2-A0T4-01A-31R-A084-07,SCAF8,C6orf72
BRCA,TCGA-A2-A0T7-01A-21R-A084-07,ADCY9,SRL
BRCA,TCGA-A2-A0T7-01A-21R-A084-07,CTPS2,RBBP7
BRCA,TCGA-A2-A0T7-01A-21R-A084-07,CUX1,10-Mar
BRCA,TCGA-A2-A0T7-01A-21R-A084-07,PARD6B,CD48
BRCA,TCGA-A2-A0T7-01A-21R-A084-07,SYT1,RIC8B
BRCA,TCGA-A2-A0T7-01A-21R-A084-07,UBL3,CRISPLD2
BRCA,TCGA-A2-A0YE-01A-11R-A109-07,CDC42EP4,SDK2
BRCA,TCGA-A2-A0YE-01A-11R-A109-07,CREB5,USP42
BRCA,TCGA-A2-A0YE-01A-11R-A109-07,ERBB2,SLC39A11
BRCA,TCGA-A2-A0YE-01A-11R-A109-07,GDAP2,ADORA3
BRCA,TCGA-A2-A0YE-01A-11R-A109-07,HS2ST1,PRDX1
BRCA,TCGA-A2-A0YE-01A-11R-A109-07,KLHL26,C19orf50
BRCA,TCGA-A2-A0YE-01A-11R-A109-07,PDGFA,NT5C3
BRCA,TCGA-A2-A0YE-01A-11R-A109-07,PRKCA,ST6GALNAC2
BRCA,TCGA-A2-A0YE-01A-11R-A109-07,SDF2,RPTOR
BRCA,TCGA-A2-A0YE-01A-11R-A109-07,SLC39A11,PITPNC1
BRCA,TCGA-A2-A0YG-01A-21R-A109-07,ESR1,C6orf97
BRCA,TCGA-A2-A0YG-01A-21R-A109-07,NOS1AP,C1orf129
BRCA,TCGA-A2-A0YG-01A-21R-A109-07,PPP3R1,TTC27
BRCA,TCGA-A2-A0YG-01A-21R-A109-07,RARA,PRR11
BRCA,TCGA-A2-A0YG-01A-21R-A109-07,UCK2,SNX27
BRCA,TCGA-A2-A0YH-01A-11R-A109-07,THSD4,LRRC49
BRCA,TCGA-A2-A0YJ-01A-11R-A109-07,BTBD9,ATAD1
BRCA,TCGA-A2-A0YJ-01A-11R-A109-07,ILF3,C3
BRCA,TCGA-A2-A0YM-01A-11R-A109-07,CLIP1,SLC24A6
BRCA,TCGA-A2-A0YM-01A-11R-A109-07,MPP5,GPHN
BRCA,TCGA-A2-A0YM-01A-11R-A109-07,MYH9,CACNG2
BRCA,TCGA-A2-A0YM-01A-11R-A109-07,PBX1,ILDR2
BRCA,TCGA-A2-A0YM-01A-11R-A109-07,RGL3,ECSIT
BRCA,TCGA-A2-A0YM-01A-11R-A109-07,TAF4B,CHST9
BRCA,TCGA-A2-A0YT-01A-11R-A109-07,AC110491.1,ARL6
BRCA,TCGA-A2-A0YT-01A-11R-A109-07,LARGE,SNW1
BRCA,TCGA-A2-A0YT-01A-11R-A109-07,NPC2,RAD51B
BRCA,TCGA-A2-A0YT-01A-11R-A109-07,TNRC18,RNF216
BRCA,TCGA-A2-A1FV-01A-11R-A13Q-07,AL139022.1,PEBP4
BRCA,TCGA-A2-A1FV-01A-11R-A13Q-07,PEBP4,UNC5D
BRCA,TCGA-A2-A1FV-01A-11R-A13Q-07,TET2,LANCL1
BRCA,TCGA-A2-A1FV-01A-11R-A13Q-07,WBP4,FANK1
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,ACBD6,IVNS1ABP
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,AKIRIN2,ANKRD55
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,ATRN,RNF24
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,BCAS3,DISP1
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,C20orf194,TDRD10
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,CDC42SE1,TNKS
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,CPD,AATF
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,DYNLL2,4-Sep
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,ERBB2IP,ZBTB10
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,GLRX3,C10orf11
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,GON4L,PIPOX
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,HECTD2,GLRX3
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,KDM5B,RABGAP1L
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,MKS1,SPAG9
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,MPZL1,PDE4DIP
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,PBX1,COPG2
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,PLCG1,BPIFB1
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,POGK,FMOD
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,PRKCA,CRYBA1
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,RABGAP1L,ACBD6
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,THEM4,S100A10
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,TNRC6C,PLCB4
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,VMP1,RNFT1
BRCA,TCGA-A2-A1FW-01A-11R-A13Q-07,ZC3H11A,TMCC2
BRCA,TCGA-A2-A1FX-01A-11R-A13Q-07,SBNO2,C19orf20
BRCA,TCGA-A2-A1FX-01A-11R-A13Q-07,TMED5,HFM1
BRCA,TCGA-A2-A1G0-01A-11R-A13Q-07,TMEM130,KPNA7
BRCA,TCGA-A2-A1G1-01A-21R-A13Q-07,CASC3,ZNF254
BRCA,TCGA-A2-A1G1-01A-21R-A13Q-07,CTIF,WASF2
BRCA,TCGA-A2-A1G1-01A-21R-A13Q-07,FBXL20,MSL1
BRCA,TCGA-A2-A1G1-01A-21R-A13Q-07,HERC1,USP3
BRCA,TCGA-A2-A1G1-01A-21R-A13Q-07,MKI67IP,BTBD2
BRCA,TCGA-A2-A1G1-01A-21R-A13Q-07,PPP6R2,EMID1
BRCA,TCGA-A2-A1G1-01A-21R-A13Q-07,SLC35G6,ALOX12
BRCA,TCGA-A2-A1G4-01A-11R-A13Q-07,BAG4,TP53INP1
BRCA,TCGA-A2-A1G4-01A-11R-A13Q-07,PPFIA1,MARK2
BRCA,TCGA-A2-A1G4-01A-11R-A13Q-07,RNF121,VPS37C
BRCA,TCGA-A2-A1G4-01A-11R-A13Q-07,RP11-849H4.2,VPS37C
BRCA,TCGA-A2-A25A-01A-12R-A16F-07,KIAA0182,HSD17B2
BRCA,TCGA-A2-A25B-01A-11R-A169-07,ADNP,DPM1
BRCA,TCGA-A2-A25B-01A-11R-A169-07,DDX42,BRIP1
BRCA,TCGA-A2-A25B-01A-11R-A169-07,ESR1,C6orf97
BRCA,TCGA-A2-A25B-01A-11R-A169-07,FLOT2,PEX12
BRCA,TCGA-A2-A25B-01A-11R-A169-07,KAT6B,RTKN2
BRCA,TCGA-A2-A25B-01A-11R-A169-07,KIAA0182,KIAA0513
BRCA,TCGA-A2-A25B-01A-11R-A169-07,MAST4,NLN
BRCA,TCGA-A2-A25B-01A-11R-A169-07,NSRP1,ANKRD13B
BRCA,TCGA-A2-A25B-01A-11R-A169-07,RABEP1,ASPA
BRCA,TCGA-A2-A25B-01A-11R-A169-07,RCC2,PADI4
BRCA,TCGA-A2-A25B-01A-11R-A169-07,SLC38A11,RABGAP1L
BRCA,TCGA-A2-A25B-01A-11R-A169-07,SMG6,WDR20
BRCA,TCGA-A2-A25B-01A-11R-A169-07,SMYD3,TFB2M
BRCA,TCGA-A2-A25B-01A-11R-A169-07,SPAG5,BLMH
BRCA,TCGA-A2-A25B-01A-11R-A169-07,STAG2,XIAP
BRCA,TCGA-A2-A25B-01A-11R-A169-07,UBQLN1,GKAP1
BRCA,TCGA-A2-A25B-01A-11R-A169-07,USP21,PVRL4
BRCA,TCGA-A2-A25B-01A-11R-A169-07,USP36,OFCC1
BRCA,TCGA-A2-A25C-01A-11R-A169-07,PEX1,NBEA
BRCA,TCGA-A2-A25C-01A-11R-A169-07,POSTN,YY1
BRCA,TCGA-A2-A25D-01A-12R-A16F-07,ADCY5,PTPLB
BRCA,TCGA-A2-A25D-01A-12R-A16F-07,AP2A1,DHDH
BRCA,TCGA-A2-A25D-01A-12R-A16F-07,KCNMA1,MSMB
BRCA,TCGA-A2-A25D-01A-12R-A16F-07,MTCH2,FNBP4
BRCA,TCGA-A2-A25E-01A-11R-A169-07,TRAPPC9,SLC45A4
BRCA,TCGA-A2-A25F-01A-11R-A169-07,C1orf135,PADI1
BRCA,TCGA-A2-A25F-01A-11R-A169-07,CELSR1,MAFF
BRCA,TCGA-A2-A25F-01A-11R-A169-07,GNE,ERP27
BRCA,TCGA-A2-A25F-01A-11R-A169-07,LANCL2,TFDP2
BRCA,TCGA-A2-A25F-01A-11R-A169-07,TFDP2,LANCL2
BRCA,TCGA-A2-A3KC-01A-11R-A213-07,ARRB1,GAB2
BRCA,TCGA-A2-A3KC-01A-11R-A213-07,KLHL18,TEX264
BRCA,TCGA-A2-A3KC-01A-11R-A213-07,MANF,SETD2
BRCA,TCGA-A2-A3KC-01A-11R-A213-07,MRPL21,FAM168A
BRCA,TCGA-A2-A3KC-01A-11R-A213-07,PPFIA1,HSD3B2
BRCA,TCGA-A2-A3KC-01A-11R-A213-07,RNF121,ESRRG
BRCA,TCGA-A2-A3KD-01A-12R-A213-07,ASPH,RSF1
BRCA,TCGA-A2-A3KD-01A-12R-A213-07,ESR1,ASPH
BRCA,TCGA-A2-A3XS-01A-11R-A22U-07,AHI1,MYB
BRCA,TCGA-A2-A3XS-01A-11R-A22U-07,NCOA6,GSS
BRCA,TCGA-A2-A3XU-01A-12R-A22U-07,LMNA,PTN
BRCA,TCGA-A2-A3XW-01A-11R-A239-07,IL4I1,KCNQ2
BRCA,TCGA-A2-A3XW-01A-11R-A239-07,LRR1,MTHFD1
BRCA,TCGA-A2-A3XW-01A-11R-A239-07,OSBPL5,RHOG
BRCA,TCGA-A2-A3XW-01A-11R-A239-07,RIMS2,PTGIS
BRCA,TCGA-A2-A3XW-01A-11R-A239-07,SIX1,CYB5R2
BRCA,TCGA-A2-A3XX-01A-21R-A239-07,C19orf2,IL29
BRCA,TCGA-A2-A3XY-01A-11R-A239-07,AQP1,TYK2
BRCA,TCGA-A2-A3XY-01A-11R-A239-07,CTIF,SMAD2
BRCA,TCGA-A2-A3XY-01A-11R-A239-07,SETD2,ULK4
BRCA,TCGA-A2-A3XY-01A-11R-A239-07,SLC37A1,PCNT
BRCA,TCGA-A2-A3XZ-01A-42R-A239-07,ABCA5,BCAS3
BRCA,TCGA-A2-A3XZ-01A-42R-A239-07,PPP2CB,PURG
BRCA,TCGA-A2-A3XZ-01A-42R-A239-07,SEC24D,CFI
BRCA,TCGA-A2-A3Y0-01A-11R-A239-07,PPP4R1,CCNB3
BRCA,TCGA-A2-A3Y0-01A-11R-A239-07,PTPRA,N4BP1
BRCA,TCGA-A2-A3Y0-01A-11R-A239-07,SPTBN2,FGF19
BRCA,TCGA-A2-A3Y0-01A-11R-A239-07,TCF12,FAM70B
BRCA,TCGA-A2-A3Y0-01A-11R-A239-07,ZNF732,DAB1
BRCA,TCGA-A2-A4RW-01A-21R-A266-07,GNA14,C9orf156
BRCA,TCGA-A2-A4RW-01A-21R-A266-07,KAL1,ARHGEF26
BRCA,TCGA-A2-A4RW-01A-21R-A266-07,LRRK1,ADAMTS17
BRCA,TCGA-A2-A4RW-01A-21R-A266-07,MAST2,C6orf52
BRCA,TCGA-A2-A4RW-01A-21R-A266-07,RC3H2,GNA14
BRCA,TCGA-A2-A4S1-01A,CDH11,PRC1
BRCA,TCGA-A2-A4S1-01A,RHPN2,BLVRB
BRCA,TCGA-A2-A4S1-01A,SCAP,C3orf75
BRCA,TCGA-A2-A4S1-01A,ZFAND3,C6orf89
BRCA,TCGA-A2-A4S3-01A-21R-A266-07,ANKRD12,MTHFD2L
BRCA,TCGA-A2-A4S3-01A-21R-A266-07,ELMOD3,TCF7L1
BRCA,TCGA-A2-A4S3-01A-21R-A266-07,ESR1,C6orf97
BRCA,TCGA-A2-A4S3-01A-21R-A266-07,EVL,EML1
BRCA,TCGA-A2-A4S3-01A-21R-A266-07,PCMTD1,ST18
BRCA,TCGA-A2-A4S3-01A-21R-A266-07,SFMBT1,RFT1
BRCA,TCGA-A2-A4S3-01A-21R-A266-07,THSD4,LRRC49
BRCA,TCGA-A2-A4S3-01A-21R-A266-07,UBA6,STAP1
BRCA,TCGA-A7-A0CG-01A-12R-A056-07,CENPO,UBXN2A
BRCA,TCGA-A7-A0CG-01A-12R-A056-07,FBXO22,SNX33
BRCA,TCGA-A7-A0CG-01A-12R-A056-07,LRP6,GPR19
BRCA,TCGA-A7-A0CG-01A-12R-A056-07,PRRC2C,FASLG
BRCA,TCGA-A7-A0CJ-01A-21R-A00Z-07,RPAIN,FHIT
BRCA,TCGA-A7-A0DA-01A-31R-A115-07,ADAM10,FIZ1
BRCA,TCGA-A7-A0DA-01A-31R-A115-07,AGAP1,RINT1
BRCA,TCGA-A7-A0DA-01A-31R-A115-07,XRCC6,GPX5
BRCA,TCGA-A7-A0DB-01C,C10orf68,CCDC7
BRCA,TCGA-A7-A0DC-01B,C10orf68,CCDC7
BRCA,TCGA-A7-A0DC-01B,NUMA1,SHANK2
BRCA,TCGA-A7-A13D-01A,ABCB9,EIF2B1
BRCA,TCGA-A7-A13D-01B,AC069368.3,ZNF609
BRCA,TCGA-A7-A13D-01B,ACOT9,APOO
BRCA,TCGA-A7-A13D-01B,ARID1A,DHDDS
BRCA,TCGA-A7-A13D-01B,ARIH2,DHX30
BRCA,TCGA-A7-A13D-01B,ASXL1,TM9SF4
BRCA,TCGA-A7-A13D-01A,BCL2L14,ETV6
BRCA,TCGA-A7-A13D-01B,C10orf68,CCDC7
BRCA,TCGA-A7-A13D-01B,CD59,FBXO3
BRCA,TCGA-A7-A13D-01A,CELSR2,KIAA1324
BRCA,TCGA-A7-A13D-01A,DPP3,PACS1
BRCA,TCGA-A7-A13D-01A,EPS15L1,CALR3
BRCA,TCGA-A7-A13D-01A,EXOC6B,SFXN5
BRCA,TCGA-A7-A13D-01A,FBXL20,C17orf37
BRCA,TCGA-A7-A13D-01B,GANAB,ZNF76
BRCA,TCGA-A7-A13D-01A,ICOSLG,KCNJ6
BRCA,TCGA-A7-A13D-01A,KDM6B,TMEM95
BRCA,TCGA-A7-A13D-01A,LIMK2,OSBP2
BRCA,TCGA-A7-A13D-01A,MACROD1,TRPT1
BRCA,TCGA-A7-A13D-01B,METAP2,VEZT
BRCA,TCGA-A7-A13D-01A,MND1,ARFIP1
BRCA,TCGA-A7-A13D-01A,MTF2,RPL5
BRCA,TCGA-A7-A13D-01B,NEBL,C10orf140
BRCA,TCGA-A7-A13D-01B,NEBL,FBXO11
BRCA,TCGA-A7-A13D-01B,NIPBL,CLSPN
BRCA,TCGA-A7-A13D-01A,PARN,RRN3
BRCA,TCGA-A7-A13D-01B,PBX1,DISC1
BRCA,TCGA-A7-A13D-01B,PSMD12,PITPNC1
BRCA,TCGA-A7-A13D-01A,RPRD2,CA14
BRCA,TCGA-A7-A13D-01A,RPRD2,VPS45
BRCA,TCGA-A7-A13D-01A,SIRT7,CCDC57
BRCA,TCGA-A7-A13D-01A,SPAG5,C17orf63
BRCA,TCGA-A7-A13D-01B,SSH3,KDM2A
BRCA,TCGA-A7-A13D-01B,STK24,ATF7
BRCA,TCGA-A7-A13D-01A,TAF4,GATA5
BRCA,TCGA-A7-A13D-01A,TAF4,LAMA5
BRCA,TCGA-A7-A13D-01B,TCF3,AP3D1
BRCA,TCGA-A7-A13D-01A,TMCO7,CDH1
BRCA,TCGA-A7-A13D-01B,TMEM123,MMP27
BRCA,TCGA-A7-A13D-01A-13R-A277-07,TTC33,AC008810.1
BRCA,TCGA-A7-A13D-01A,WDR35,PUM2
BRCA,TCGA-A7-A13E-01A-11R-A277-07,C10orf68,CCDC7
BRCA,TCGA-A7-A13E-01A-11R-A277-07,EXTL3,TMEM66
BRCA,TCGA-A7-A13E-01A,KDM4B,C19orf44
BRCA,TCGA-A7-A13E-01A,SLC39A3,PPAP2C
BRCA,TCGA-A7-A13F-01A-11R-A12P-07,TAF4,CDH4
BRCA,TCGA-A7-A13G-01B,C10orf68,CCDC7
BRCA,TCGA-A7-A13G-01A-11R-A13Q-07,CATSPERB,TC2N
BRCA,TCGA-A7-A13G-01A-11R-A13Q-07,PSPC1,ZMYM5
BRCA,TCGA-A7-A26E-01A-11R-A277-07,C10orf68,CCDC7
BRCA,TCGA-A7-A26F-01A,FAM172A,KIAA0825
BRCA,TCGA-A7-A26F-01A,RAP1GAP,CELA3B
BRCA,TCGA-A7-A26F-01A,ROBO1,HECW2
BRCA,TCGA-A7-A26F-01A,ROD1,ENDOG
BRCA,TCGA-A7-A26G-01A-21R-A169-07,ANK3,RHOBTB1
BRCA,TCGA-A7-A26G-01A-21R-A169-07,APBA2,GABRB3
BRCA,TCGA-A7-A26G-01A-21R-A169-07,ASH1L,ARHGEF2
BRCA,TCGA-A7-A26G-01A-21R-A169-07,C7orf10,POU6F2
BRCA,TCGA-A7-A26G-01A-21R-A169-07,DCAF6,MPZL1
BRCA,TCGA-A7-A26G-01A-21R-A169-07,DGCR2,CLTCL1
BRCA,TCGA-A7-A26G-01A-21R-A169-07,FAM190A,MMRN1
BRCA,TCGA-A7-A26G-01A-21R-A169-07,ILKAP,PER2
BRCA,TCGA-A7-A26G-01A-21R-A169-07,LIFR,C9
BRCA,TCGA-A7-A26G-01A-21R-A169-07,LTF,CHD1
BRCA,TCGA-A7-A26G-01A-21R-A169-07,MSH2,TTC7A
BRCA,TCGA-A7-A26G-01A-21R-A169-07,MTF2,BRDT
BRCA,TCGA-A7-A26G-01A-21R-A169-07,NSD1,ZNF346
BRCA,TCGA-A7-A26G-01A-21R-A169-07,PBRM1,TKT
BRCA,TCGA-A7-A26G-01A-21R-A169-07,RAMP1,RBM44
BRCA,TCGA-A7-A26G-01A-21R-A169-07,RIC8B,RFX4
BRCA,TCGA-A7-A26G-01A-21R-A169-07,RNF121,ANO1
BRCA,TCGA-A7-A26G-01A-21R-A169-07,RNF13,TM4SF4
BRCA,TCGA-A7-A26G-01A-21R-A169-07,9-Sep,SEC14L1
BRCA,TCGA-A7-A26G-01A-21R-A169-07,SH3KBP1,MAP7D2
BRCA,TCGA-A7-A26G-01A-21R-A169-07,SKI,PRKCZ
BRCA,TCGA-A7-A26G-01A-21R-A169-07,SMAD3,DIS3L
BRCA,TCGA-A7-A26G-01A-21R-A169-07,SRBD1,CCDC88A
BRCA,TCGA-A7-A26G-01A-21R-A169-07,TBCD,SLC9A3R1
BRCA,TCGA-A7-A26G-01A-21R-A169-07,TP53BP1,DMXL2
BRCA,TCGA-A7-A26H-01A-11R-A169-07,SH3BP5,HEATR6
BRCA,TCGA-A7-A26I-01B,C10orf68,CCDC7
BRCA,TCGA-A7-A26I-01B,CLPTM1,CYP2A7
BRCA,TCGA-A7-A26I-01B,EPRS,DNAH14
BRCA,TCGA-A7-A26J-01B,C10orf68,CCDC7
BRCA,TCGA-A7-A26J-01A,SCMH1,EIF2C3
BRCA,TCGA-A7-A26J-01A,SRSF4,SCRN3
BRCA,TCGA-A7-A26J-01A,THRAP3,EPHB2
BRCA,TCGA-A7-A2KD-01A-31R-A21T-07,ADNP2,L3MBTL4
BRCA,TCGA-A7-A2KD-01A-31R-A21T-07,B4GALT1,FAM201A
BRCA,TCGA-A7-A2KD-01A-31R-A21T-07,EPN2,AKAP10
BRCA,TCGA-A7-A2KD-01A-31R-A21T-07,HSPA14,MRPS35
BRCA,TCGA-A7-A2KD-01A-31R-A21T-07,IFI44L,SLC44A3
BRCA,TCGA-A7-A2KD-01A-31R-A21T-07,KIAA0100,TEX14
BRCA,TCGA-A7-A2KD-01A-31R-A21T-07,KIAA0182,METTL23
BRCA,TCGA-A7-A2KD-01A-31R-A21T-07,MAGI3,SPAG17
BRCA,TCGA-A7-A2KD-01A-31R-A21T-07,RBM12,RP11-123B3.6
BRCA,TCGA-A7-A2KD-01A-31R-A21T-07,RECQL5,SEC14L1
BRCA,TCGA-A7-A2KD-01A-31R-A21T-07,RP11-123B3.6,PREX1
BRCA,TCGA-A7-A2KD-01A-31R-A21T-07,9-Sep,JMJD6
BRCA,TCGA-A7-A2KD-01A-31R-A21T-07,SLC20A2,DOCK8
BRCA,TCGA-A7-A2KD-01A-31R-A21T-07,STX8,HSD17B4
BRCA,TCGA-A7-A3IY-01A-21R-A21T-07,TPT1,ARFGEF2
BRCA,TCGA-A7-A3IZ-01A-11R-A213-07,COG5,DNAH7
BRCA,TCGA-A7-A3IZ-01A-11R-A213-07,FNTA,OVOL1
BRCA,TCGA-A7-A3IZ-01A-11R-A213-07,TBX3,BIK
BRCA,TCGA-A7-A3J0-01A-11R-A213-07,FOXP1,EIF4E3
BRCA,TCGA-A7-A3J0-01A-11R-A213-07,MPP2,PPY
BRCA,TCGA-A7-A3J0-01A-11R-A213-07,MVP,KIF22
BRCA,TCGA-A7-A3J0-01A-11R-A213-07,PSAP,AC011333.1
BRCA,TCGA-A7-A3J0-01A-11R-A213-07,RIMS2,BAALC
BRCA,TCGA-A7-A3RF-01A-11R-A22K-07,ZDHHC16,PFKL
BRCA,TCGA-A7-A425-01A-11R-A24H-07,C16orf87,ATXN2
BRCA,TCGA-A7-A4SA-01A-11R-A266-07,C11orf57,DLAT
BRCA,TCGA-A7-A4SA-01A-11R-A266-07,SPATA7,GABRA3
BRCA,TCGA-A7-A4SA-01A-11R-A266-07,TGFBR3,EDARADD
BRCA,TCGA-A7-A4SB-01A-21R-A266-07,C2CD3,ODZ4
BRCA,TCGA-A7-A4SB-01A-21R-A266-07,MARK2,FAM168A
BRCA,TCGA-A7-A4SB-01A-21R-A266-07,PLXDC2,ST8SIA6
BRCA,TCGA-A7-A4SB-01A-21R-A266-07,USP35,RNF169
BRCA,TCGA-A7-A4SC-01A,DGCR2,CLTCL1
BRCA,TCGA-A7-A4SC-01A,ESR1,C6orf97
BRCA,TCGA-A7-A4SC-01A,GSN,UVRAG
BRCA,TCGA-A7-A4SD-01A-11R-A266-07,ADAMTS16,ETV6
BRCA,TCGA-A7-A4SD-01A-11R-A266-07,ARNTL2,ITPR2
BRCA,TCGA-A7-A4SD-01A-11R-A266-07,GALNT10,C5orf4
BRCA,TCGA-A7-A4SD-01A-11R-A266-07,ITPR2,ANO2
BRCA,TCGA-A7-A4SD-01A-11R-A266-07,LRRC29,FHOD1
BRCA,TCGA-A7-A4SD-01A-11R-A266-07,MACF1,PTPRU
BRCA,TCGA-A7-A4SD-01A-11R-A266-07,RECK,TMEM8B
BRCA,TCGA-A7-A4SD-01A-11R-A266-07,RPP40,LYRM4
BRCA,TCGA-A7-A4SD-01A-11R-A266-07,SMARCA4,DNM2
BRCA,TCGA-A7-A4SD-01A-11R-A266-07,TTLL4,RQCD1
BRCA,TCGA-A7-A4SE-01A-11R-A266-07,ARMC1,PEX19
